ticker,count,Company,from_date,to_date,stock
EBAY,63,eBay Inc. - Common Stock,2012-10-17,2023-06-01,NASDAQ
NVAX,63,"Novavax, Inc. - Common Stock",2012-11-02,2023-05-14,NASDAQ
CVS,63,CVS Health Corporation Common Stock,2012-11-06,2023-05-31,NYSE
NXPI,63,NXP Semiconductors N.V. - Common Stock,2012-10-25,2023-05-22,NASDAQ
VRTX,62,Vertex Pharmaceuticals Incorporated - Common Stock,2012-11-01,2023-05-13,NASDAQ
MCD,62,McDonald's Corporation Common Stock,2012-10-19,2023-04-25,NYSE
BNS,62,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,2012-12-07,2023-05-24,NYSE
C,62,"Citigroup, Inc. Common Stock",2013-01-17,2020-01-14,NYSE
MDLZ,62,"Mondelez International, Inc. - Class A Common Stock",2012-11-07,2023-04-27,NASDAQ
DHR,62,Danaher Corporation Common Stock,2012-10-18,2023-05-14,NYSE
WDAY,61,"Workday, Inc. - Class A Common Stock",2012-11-28,2023-06-06,NYSE
LOW,61,"Lowe's Companies, Inc. Common Stock",2012-11-19,2023-05-23,NYSE
AFL,61,AFLAC Incorporated Common Stock,2012-10-24,2023-04-27,NYSE
BSX,61,Boston Scientific Corporation Common Stock,2012-10-18,2023-04-26,NYSE
FTNT,61,"Fortinet, Inc. - Common Stock",2013-01-30,2023-06-06,NASDAQ
SPLK,61,Splunk Inc. - Common Stock,2012-11-30,2023-06-08,NASDAQ
TMO,61,Thermo Fisher Scientific Inc Common Stock,2012-10-24,2023-05-31,NYSE
ALNY,61,"Alnylam Pharmaceuticals, Inc. - Common Stock",2012-10-22,2023-05-04,NASDAQ
NFLX,61,"Netflix, Inc. - Common Stock",2012-10-23,2023-04-18,NASDAQ
GOOG,61,Alphabet Inc. - Class C Capital Stock,2012-10-18,2023-05-18,NASDAQ
DAL,61,"Delta Air Lines, Inc. Common Stock",2012-10-24,2023-04-13,NYSE
AGNC,60,AGNC Investment Corp. - Common Stock,2012-11-01,2023-04-25,NASDAQ
MMP,60,Magellan Midstream Partners L.P. Limited Partnership,2012-10-31,2023-05-23,NYSE
ACAD,60,ACADIA Pharmaceuticals Inc. - Common Stock,2012-11-05,2023-05-08,NASDAQ
DDD,60,3D Systems Corporation Common Stock,2012-10-25,2023-05-09,NYSE
CLX,60,Clorox Company (The) Common Stock,2012-11-02,2023-06-06,NYSE
NOC,60,Northrop Grumman Corporation Common Stock,2012-10-24,2023-06-01,NYSE
FCX,60,Freeport,2012-10-22,2023-05-16,NYSE
SWKS,60,"Skyworks Solutions, Inc. - Common Stock",2012-11-01,2023-05-08,NASDAQ
COP,59,ConocoPhillips Common Stock,2012-10-25,2023-05-04,NYSE
UAL,59,"United Airlines Holdings, Inc. - Common Stock",2012-10-25,2023-04-19,NYSE
ASML,59,ASML Holding N.V. - New York Registry Shares,2012-10-17,2023-06-01,NASDAQ
CMI,59,Cummins Inc. Common Stock,2012-10-31,2023-06-08,NYSE
LMT,59,Lockheed Martin Corporation Common Stock,2012-10-24,2023-06-01,NYSE
ABT,59,Abbott Laboratories Common Stock,2012-10-17,2023-04-19,NYSE
IRM,59,Iron Mountain Incorporated (Delaware)Common Stock,2012-10-31,2023-05-04,NYSE
MO,59,"Altria Group, Inc.",2012-10-25,2023-04-27,NYSE
GIS,58,"General Mills, Inc. Common Stock",2012-12-19,2023-06-08,NYSE
CAH,58,"Cardinal Health, Inc. Common Stock",2012-10-30,2023-05-04,NYSE
A,58,"Agilent Technologies, Inc. Common Stock",2012-11-19,2023-05-23,NYSE
CTSH,58,Cognizant Technology Solutions Corporation - Class A Common Stock,2012-11-07,2023-05-03,NASDAQ
ADSK,57,"Autodesk, Inc. - Common Stock",2012-11-15,2023-06-08,NASDAQ
ADM,57,Archer,2012-10-30,2023-05-31,NYSE
TEVA,57,Teva Pharmaceutical Industries Limited American Depositary Shares,2012-11-01,2023-05-10,NYSE
PSX,57,Phillips 66 Common Stock,2012-10-31,2023-05-03,NYSE
SNY,57,Sanofi - American Depositary Shares,2012-10-25,2023-04-27,NYSE
STZ,57,"Constellation Brands, Inc. Common Stock",2013-01-09,2023-05-31,NYSE
XOM,56,Exxon Mobil Corporation Common Stock,2012-11-01,2023-06-01,NYSE
AI,56,Arlington Asset Investment Corp Class A (new),2013-02-07,2023-05-31,NYSE
CHK,56,Chesapeake Energy Corporation - Common Stock,2012-11-02,2023-05-03,NYSE
JNPR,56,"Juniper Networks, Inc. Common Stock",2012-10-23,2023-04-25,NYSE
NBIX,56,"Neurocrine Biosciences, Inc. - Common Stock",2012-10-31,2023-05-03,NASDAQ
SGMO,56,"Sangamo Therapeutics, Inc. - Common Stock",2012-10-24,2023-04-27,NASDAQ
PYPL,56,"PayPal Holdings, Inc. - Common Stock",2016-04-27,2023-05-22,NASDAQ
